"activities-heart__value__heartRateZones__caloriesOut","activities-heart__value__heartRateZones__max","activities-heart__value__heartRateZones__min","activities-heart__value__heartRateZones__minutes","activities-heart__value__heartRateZones__name","activities-heart__value__restingHeartRate","activities-heart__dateTime","activities-heart-intraday__dataset__time","activities-heart-intraday__dataset__value","activities-heart-intraday__datasetInterval","activities-heart-intraday__datasetType"
"3332.01172","112","30","1429","Out of Range","54","2025-04-18","00:00:00","84","1","minute"
"93.95543","141","112","10","Fat Burn","","","00:01:00","85","",""
"11.31064","177","141","1","Cardio","","","00:02:00","85","",""
"0","220","177","0","Peak","","","00:03:00","85","",""
"","","","","","","","00:04:00","91","",""
"","","","","","","","00:05:00","91","",""
"","","","","","","","00:06:00","94","",""
"","","","","","","","00:07:00","93","",""
"","","","","","","","00:08:00","92","",""
"","","","","","","","00:09:00","91","",""
"","","","","","","","00:10:00","89","",""
"","","","","","","","00:11:00","90","",""
"","","","","","","","00:12:00","91","",""
"","","","","","","","00:13:00","94","",""
"","","","","","","","00:14:00","93","",""
"","","","","","","","00:15:00","94","",""
"","","","","","","","00:16:00","96","",""
"","","","","","","","00:17:00","95","",""
"","","","","","","","00:18:00","94","",""
"","","","","","","","00:19:00","88","",""
"","","","","","","","00:20:00","84","",""
"","","","","","","","00:21:00","84","",""
"","","","","","","","00:22:00","88","",""
"","","","","","","","00:23:00","90","",""
"","","","","","","","00:24:00","90","",""
"","","","","","","","00:25:00","92","",""
"","","","","","","","00:26:00","88","",""
"","","","","","","","00:27:00","90","",""
"","","","","","","","00:28:00","86","",""
"","","","","","","","00:29:00","84","",""
"","","","","","","","00:30:00","89","",""
"","","","","","","","00:31:00","92","",""
"","","","","","","","00:32:00","88","",""
"","","","","","","","00:33:00","86","",""
"","","","","","","","00:34:00","91","",""
"","","","","","","","00:35:00","92","",""
"","","","","","","","00:36:00","90","",""
"","","","","","","","00:37:00","85","",""
"","","","","","","","00:38:00","80","",""
"","","","","","","","00:39:00","75","",""
"","","","","","","","00:40:00","76","",""
"","","","","","","","00:41:00","78","",""
"","","","","","","","00:42:00","79","",""
"","","","","","","","00:43:00","82","",""
"","","","","","","","00:44:00","79","",""
"","","","","","","","00:45:00","82","",""
"","","","","","","","00:46:00","84","",""
"","","","","","","","00:47:00","82","",""
"","","","","","","","00:48:00","82","",""
"","","","","","","","00:49:00","78","",""
"","","","","","","","00:50:00","81","",""
"","","","","","","","00:51:00","82","",""
"","","","","","","","00:52:00","82","",""
"","","","","","","","00:53:00","86","",""
"","","","","","","","00:54:00","86","",""
"","","","","","","","00:55:00","86","",""
"","","","","","","","00:56:00","85","",""
"","","","","","","","00:57:00","85","",""
"","","","","","","","00:58:00","83","",""
"","","","","","","","00:59:00","82","",""
"","","","","","","","01:00:00","84","",""
"","","","","","","","01:01:00","85","",""
"","","","","","","","01:02:00","87","",""
"","","","","","","","01:03:00","91","",""
"","","","","","","","01:04:00","91","",""
"","","","","","","","01:05:00","87","",""
"","","","","","","","01:06:00","79","",""
"","","","","","","","01:07:00","78","",""
"","","","","","","","01:08:00","81","",""
"","","","","","","","01:09:00","80","",""
"","","","","","","","01:10:00","83","",""
"","","","","","","","01:11:00","84","",""
"","","","","","","","01:12:00","82","",""
"","","","","","","","01:13:00","82","",""
"","","","","","","","01:14:00","85","",""
"","","","","","","","01:15:00","84","",""
"","","","","","","","01:16:00","88","",""
"","","","","","","","01:17:00","80","",""
"","","","","","","","01:18:00","63","",""
"","","","","","","","01:19:00","61","",""
"","","","","","","","01:20:00","62","",""
"","","","","","","","01:21:00","62","",""
"","","","","","","","01:22:00","62","",""
"","","","","","","","01:23:00","65","",""
"","","","","","","","01:24:00","63","",""
"","","","","","","","01:25:00","63","",""
"","","","","","","","01:26:00","62","",""
"","","","","","","","01:27:00","65","",""
"","","","","","","","01:28:00","65","",""
"","","","","","","","01:29:00","63","",""
"","","","","","","","01:30:00","64","",""
"","","","","","","","01:31:00","64","",""
"","","","","","","","01:32:00","64","",""
"","","","","","","","01:33:00","74","",""
"","","","","","","","01:34:00","69","",""
"","","","","","","","01:35:00","66","",""
"","","","","","","","01:36:00","63","",""
"","","","","","","","01:37:00","67","",""
"","","","","","","","01:38:00","68","",""
"","","","","","","","01:39:00","62","",""
"","","","","","","","01:40:00","59","",""
"","","","","","","","01:41:00","60","",""
"","","","","","","","01:42:00","59","",""
"","","","","","","","01:43:00","71","",""
"","","","","","","","01:44:00","61","",""
"","","","","","","","01:45:00","61","",""
"","","","","","","","01:46:00","63","",""
"","","","","","","","01:47:00","62","",""
"","","","","","","","01:48:00","58","",""
"","","","","","","","01:49:00","58","",""
"","","","","","","","01:50:00","59","",""
"","","","","","","","01:51:00","57","",""
"","","","","","","","01:52:00","57","",""
"","","","","","","","01:53:00","57","",""
"","","","","","","","01:54:00","57","",""
"","","","","","","","01:55:00","56","",""
"","","","","","","","01:56:00","55","",""
"","","","","","","","01:57:00","55","",""
"","","","","","","","01:58:00","54","",""
"","","","","","","","01:59:00","54","",""
"","","","","","","","02:00:00","54","",""
"","","","","","","","02:01:00","55","",""
"","","","","","","","02:02:00","54","",""
"","","","","","","","02:03:00","54","",""
"","","","","","","","02:04:00","54","",""
"","","","","","","","02:05:00","54","",""
"","","","","","","","02:06:00","54","",""
"","","","","","","","02:07:00","55","",""
"","","","","","","","02:08:00","55","",""
"","","","","","","","02:09:00","54","",""
"","","","","","","","02:10:00","59","",""
"","","","","","","","02:11:00","52","",""
"","","","","","","","02:12:00","52","",""
"","","","","","","","02:13:00","53","",""
"","","","","","","","02:14:00","51","",""
"","","","","","","","02:15:00","54","",""
"","","","","","","","02:16:00","54","",""
"","","","","","","","02:17:00","53","",""
"","","","","","","","02:18:00","53","",""
"","","","","","","","02:19:00","53","",""
"","","","","","","","02:20:00","52","",""
"","","","","","","","02:21:00","53","",""
"","","","","","","","02:22:00","53","",""
"","","","","","","","02:23:00","53","",""
