"activities-heart__value__heartRateZones__caloriesOut","activities-heart__value__heartRateZones__max","activities-heart__value__heartRateZones__min","activities-heart__value__heartRateZones__minutes","activities-heart__value__heartRateZones__name","activities-heart__value__restingHeartRate","activities-heart__dateTime","activities-heart-intraday__dataset__time","activities-heart-intraday__dataset__value","activities-heart-intraday__datasetInterval","activities-heart-intraday__datasetType"
"2820.59085","110","30","1438","Out of Range","52","2025-05-10","00:00:00","43","1","minute"
"14.65242","140","110","2","Fat Burn","","","00:01:00","44","",""
"0","176","140","0","Cardio","","","00:02:00","44","",""
"0","220","176","0","Peak","","","00:03:00","44","",""
"","","","","","","","00:04:00","44","",""
"","","","","","","","00:05:00","44","",""
"","","","","","","","00:06:00","44","",""
"","","","","","","","00:07:00","44","",""
"","","","","","","","00:08:00","44","",""
"","","","","","","","00:09:00","44","",""
"","","","","","","","00:10:00","43","",""
"","","","","","","","00:11:00","44","",""
"","","","","","","","00:12:00","44","",""
"","","","","","","","00:13:00","45","",""
"","","","","","","","00:14:00","45","",""
"","","","","","","","00:15:00","45","",""
"","","","","","","","00:16:00","46","",""
"","","","","","","","00:17:00","45","",""
"","","","","","","","00:18:00","45","",""
"","","","","","","","00:19:00","45","",""
"","","","","","","","00:20:00","45","",""
"","","","","","","","00:21:00","45","",""
"","","","","","","","00:22:00","45","",""
"","","","","","","","00:23:00","46","",""
"","","","","","","","00:24:00","45","",""
"","","","","","","","00:25:00","46","",""
"","","","","","","","00:26:00","50","",""
"","","","","","","","00:27:00","51","",""
"","","","","","","","00:28:00","44","",""
"","","","","","","","00:29:00","44","",""
"","","","","","","","00:30:00","44","",""
"","","","","","","","00:31:00","42","",""
"","","","","","","","00:32:00","42","",""
"","","","","","","","00:33:00","42","",""
"","","","","","","","00:34:00","42","",""
"","","","","","","","00:35:00","45","",""
"","","","","","","","00:36:00","44","",""
"","","","","","","","00:37:00","41","",""
"","","","","","","","00:38:00","41","",""
"","","","","","","","00:39:00","41","",""
"","","","","","","","00:40:00","41","",""
"","","","","","","","00:41:00","41","",""
"","","","","","","","00:42:00","42","",""
"","","","","","","","00:43:00","44","",""
"","","","","","","","00:44:00","42","",""
"","","","","","","","00:45:00","42","",""
"","","","","","","","00:46:00","44","",""
"","","","","","","","00:47:00","43","",""
"","","","","","","","00:48:00","45","",""
"","","","","","","","00:49:00","46","",""
"","","","","","","","00:50:00","45","",""
"","","","","","","","00:51:00","44","",""
"","","","","","","","00:52:00","51","",""
"","","","","","","","00:53:00","49","",""
"","","","","","","","00:54:00","47","",""
"","","","","","","","00:55:00","51","",""
"","","","","","","","00:56:00","48","",""
"","","","","","","","00:57:00","48","",""
"","","","","","","","00:58:00","47","",""
"","","","","","","","00:59:00","47","",""
"","","","","","","","01:00:00","46","",""
"","","","","","","","01:01:00","47","",""
"","","","","","","","01:02:00","46","",""
"","","","","","","","01:03:00","48","",""
"","","","","","","","01:04:00","47","",""
"","","","","","","","01:05:00","46","",""
"","","","","","","","01:06:00","47","",""
"","","","","","","","01:07:00","47","",""
"","","","","","","","01:08:00","48","",""
"","","","","","","","01:09:00","46","",""
"","","","","","","","01:10:00","47","",""
"","","","","","","","01:11:00","46","",""
"","","","","","","","01:12:00","46","",""
"","","","","","","","01:13:00","47","",""
"","","","","","","","01:14:00","46","",""
"","","","","","","","01:15:00","46","",""
"","","","","","","","01:16:00","45","",""
"","","","","","","","01:17:00","46","",""
"","","","","","","","01:18:00","48","",""
"","","","","","","","01:19:00","45","",""
"","","","","","","","01:20:00","45","",""
"","","","","","","","01:21:00","50","",""
"","","","","","","","01:22:00","44","",""
"","","","","","","","01:23:00","45","",""
"","","","","","","","01:24:00","44","",""
"","","","","","","","01:25:00","44","",""
"","","","","","","","01:26:00","44","",""
"","","","","","","","01:27:00","45","",""
"","","","","","","","01:28:00","43","",""
"","","","","","","","01:29:00","44","",""
"","","","","","","","01:30:00","43","",""
"","","","","","","","01:31:00","44","",""
"","","","","","","","01:32:00","45","",""
"","","","","","","","01:33:00","44","",""
"","","","","","","","01:34:00","44","",""
"","","","","","","","01:35:00","44","",""
"","","","","","","","01:36:00","45","",""
"","","","","","","","01:37:00","43","",""
"","","","","","","","01:38:00","44","",""
"","","","","","","","01:39:00","44","",""
"","","","","","","","01:40:00","45","",""
"","","","","","","","01:41:00","46","",""
"","","","","","","","01:42:00","45","",""
"","","","","","","","01:43:00","45","",""
"","","","","","","","01:44:00","44","",""
"","","","","","","","01:45:00","46","",""
"","","","","","","","01:46:00","44","",""
"","","","","","","","01:47:00","45","",""
"","","","","","","","01:48:00","46","",""
"","","","","","","","01:49:00","45","",""
"","","","","","","","01:50:00","45","",""
"","","","","","","","01:51:00","46","",""
"","","","","","","","01:52:00","49","",""
"","","","","","","","01:53:00","43","",""
"","","","","","","","01:54:00","42","",""
"","","","","","","","01:55:00","41","",""
"","","","","","","","01:56:00","41","",""
"","","","","","","","01:57:00","41","",""
"","","","","","","","01:58:00","42","",""
"","","","","","","","01:59:00","41","",""
"","","","","","","","02:00:00","41","",""
"","","","","","","","02:01:00","41","",""
"","","","","","","","02:02:00","41","",""
"","","","","","","","02:03:00","41","",""
"","","","","","","","02:04:00","41","",""
"","","","","","","","02:05:00","41","",""
"","","","","","","","02:06:00","41","",""
"","","","","","","","02:07:00","42","",""
"","","","","","","","02:08:00","41","",""
"","","","","","","","02:09:00","42","",""
"","","","","","","","02:10:00","41","",""
"","","","","","","","02:11:00","43","",""
"","","","","","","","02:12:00","41","",""
"","","","","","","","02:13:00","41","",""
"","","","","","","","02:14:00","41","",""
"","","","","","","","02:15:00","41","",""
"","","","","","","","02:16:00","41","",""
"","","","","","","","02:17:00","41","",""
"","","","","","","","02:18:00","48","",""
"","","","","","","","02:19:00","45","",""
"","","","","","","","02:20:00","42","",""
"","","","","","","","02:21:00","47","",""
"","","","","","","","02:22:00","46","",""
"","","","","","","","02:23:00","45","",""
"","","","","","","","02:24:00","47","",""
"","","","","","","","02:25:00","47","",""
"","","","","","","","02:26:00","47","",""
"","","","","","","","02:27:00","46","",""
"","","","","","","","02:28:00","47","",""
"","","","","","","","02:29:00","48","",""
"","","","","","","","02:30:00","46","",""
"","","","","","","","02:31:00","48","",""
"","","","","","","","02:32:00","51","",""
"","","","","","","","02:33:00","49","",""
"","","","","","","","02:34:00","49","",""
"","","","","","","","02:35:00","51","",""
"","","","","","","","02:36:00","46","",""
"","","","","","","","02:37:00","45","",""
"","","","","","","","02:38:00","44","",""
"","","","","","","","02:39:00","47","",""
"","","","","","","","02:40:00","45","",""
"","","","","","","","02:41:00","47","",""
"","","","","","","","02:42:00","44","",""
"","","","","","","","02:43:00","43","",""
"","","","","","","","02:44:00","43","",""
"","","","","","","","02:45:00","43","",""
"","","","","","","","02:46:00","44","",""
"","","","","","","","02:47:00","42","",""
"","","","","","","","02:48:00","43","",""
"","","","","","","","02:49:00","45","",""
"","","","","","","","02:50:00","45","",""
"","","","","","","","02:51:00","51","",""
"","","","","","","","02:52:00","43","",""
"","","","","","","","02:53:00","42","",""
"","","","","","","","02:54:00","42","",""
"","","","","","","","02:55:00","45","",""
"","","","","","","","02:56:00","44","",""
"","","","","","","","02:57:00","48","",""
"","","","","","","","02:58:00","44","",""
"","","","","","","","02:59:00","41","",""
"","","","","","","","03:00:00","41","",""
"","","","","","","","03:01:00","41","",""
"","","","","","","","03:02:00","41","",""
"","","","","","","","03:03:00","41","",""
"","","","","","","","03:04:00","41","",""
"","","","","","","","03:05:00","41","",""
"","","","","","","","03:06:00","41","",""
"","","","","","","","03:07:00","41","",""
"","","","","","","","03:08:00","42","",""
"","","","","","","","03:09:00","41","",""
"","","","","","","","03:10:00","40","",""
"","","","","","","","03:11:00","43","",""
"","","","","","","","03:12:00","41","",""
"","","","","","","","03:13:00","41","",""
"","","","","","","","03:14:00","41","",""
"","","","","","","","03:15:00","41","",""
"","","","","","","","03:16:00","41","",""
"","","","","","","","03:17:00","42","",""
"","","","","","","","03:18:00","41","",""
"","","","","","","","03:19:00","41","",""
"","","","","","","","03:20:00","41","",""
"","","","","","","","03:21:00","41","",""
"","","","","","","","03:22:00","41","",""
"","","","","","","","03:23:00","41","",""
"","","","","","","","03:24:00","41","",""
"","","","","","","","03:25:00","42","",""
"","","","","","","","03:26:00","43","",""
"","","","","","","","03:27:00","41","",""
"","","","","","","","03:28:00","42","",""
"","","","","","","","03:29:00","42","",""
"","","","","","","","03:30:00","48","",""
"","","","","","","","03:31:00","51","",""
"","","","","","","","03:32:00","45","",""
"","","","","","","","03:33:00","42","",""
"","","","","","","","03:34:00","42","",""
"","","","","","","","03:35:00","41","",""
"","","","","","","","03:36:00","41","",""
"","","","","","","","03:37:00","41","",""
"","","","","","","","03:38:00","41","",""
"","","","","","","","03:39:00","43","",""
"","","","","","","","03:40:00","47","",""
"","","","","","","","03:41:00","44","",""
"","","","","","","","03:42:00","43","",""
"","","","","","","","03:43:00","42","",""
"","","","","","","","03:44:00","42","",""
"","","","","","","","03:45:00","44","",""
"","","","","","","","03:46:00","44","",""
"","","","","","","","03:47:00","44","",""
"","","","","","","","03:48:00","46","",""
"","","","","","","","03:49:00","43","",""
"","","","","","","","03:50:00","44","",""
"","","","","","","","03:51:00","50","",""
"","","","","","","","03:52:00","48","",""
"","","","","","","","03:53:00","45","",""
"","","","","","","","03:54:00","45","",""
"","","","","","","","03:55:00","46","",""
"","","","","","","","03:56:00","45","",""
"","","","","","","","03:57:00","46","",""
"","","","","","","","03:58:00","46","",""
"","","","","","","","03:59:00","45","",""
"","","","","","","","04:00:00","46","",""
"","","","","","","","04:01:00","45","",""
"","","","","","","","04:02:00","45","",""
"","","","","","","","04:03:00","44","",""
"","","","","","","","04:04:00","44","",""
"","","","","","","","04:05:00","44","",""
"","","","","","","","04:06:00","44","",""
"","","","","","","","04:07:00","45","",""
"","","","","","","","04:08:00","43","",""
"","","","","","","","04:09:00","45","",""
"","","","","","","","04:10:00","43","",""
"","","","","","","","04:11:00","45","",""
"","","","","","","","04:12:00","46","",""
"","","","","","","","04:13:00","45","",""
"","","","","","","","04:14:00","44","",""
"","","","","","","","04:15:00","44","",""
"","","","","","","","04:16:00","43","",""
"","","","","","","","04:17:00","44","",""
"","","","","","","","04:18:00","43","",""
"","","","","","","","04:19:00","44","",""
"","","","","","","","04:20:00","42","",""
"","","","","","","","04:21:00","42","",""
"","","","","","","","04:22:00","44","",""
"","","","","","","","04:23:00","43","",""
"","","","","","","","04:24:00","44","",""
"","","","","","","","04:25:00","44","",""
"","","","","","","","04:26:00","43","",""
"","","","","","","","04:27:00","43","",""
"","","","","","","","04:28:00","43","",""
"","","","","","","","04:29:00","44","",""
"","","","","","","","04:30:00","44","",""
"","","","","","","","04:31:00","44","",""
"","","","","","","","04:32:00","45","",""
"","","","","","","","04:33:00","44","",""
"","","","","","","","04:34:00","44","",""
"","","","","","","","04:35:00","44","",""
"","","","","","","","04:36:00","45","",""
"","","","","","","","04:37:00","44","",""
"","","","","","","","04:38:00","44","",""
"","","","","","","","04:39:00","44","",""
"","","","","","","","04:40:00","44","",""
"","","","","","","","04:41:00","45","",""
"","","","","","","","04:42:00","44","",""
"","","","","","","","04:43:00","45","",""
"","","","","","","","04:44:00","45","",""
"","","","","","","","04:45:00","55","",""
"","","","","","","","04:46:00","50","",""
"","","","","","","","04:47:00","43","",""
"","","","","","","","04:48:00","43","",""
"","","","","","","","04:49:00","49","",""
"","","","","","","","04:50:00","46","",""
"","","","","","","","04:51:00","41","",""
"","","","","","","","04:52:00","41","",""
"","","","","","","","04:53:00","42","",""
"","","","","","","","04:54:00","42","",""
"","","","","","","","04:55:00","41","",""
"","","","","","","","04:56:00","41","",""
"","","","","","","","04:57:00","43","",""
"","","","","","","","04:58:00","42","",""
"","","","","","","","04:59:00","41","",""
"","","","","","","","05:00:00","41","",""
"","","","","","","","05:01:00","41","",""
"","","","","","","","05:02:00","42","",""
"","","","","","","","05:03:00","42","",""
"","","","","","","","05:04:00","42","",""
"","","","","","","","05:05:00","42","",""
"","","","","","","","05:06:00","42","",""
"","","","","","","","05:07:00","42","",""
"","","","","","","","05:08:00","42","",""
"","","","","","","","05:09:00","44","",""
"","","","","","","","05:10:00","44","",""
"","","","","","","","05:11:00","41","",""
"","","","","","","","05:12:00","47","",""
"","","","","","","","05:13:00","42","",""
"","","","","","","","05:14:00","44","",""
"","","","","","","","05:15:00","45","",""
"","","","","","","","05:16:00","45","",""
"","","","","","","","05:17:00","47","",""
"","","","","","","","05:18:00","44","",""
"","","","","","","","05:19:00","46","",""
"","","","","","","","05:20:00","49","",""
"","","","","","","","05:21:00","44","",""
"","","","","","","","05:22:00","46","",""
"","","","","","","","05:23:00","47","",""
"","","","","","","","05:24:00","49","",""
"","","","","","","","05:25:00","52","",""
"","","","","","","","05:26:00","47","",""
"","","","","","","","05:27:00","46","",""
"","","","","","","","05:28:00","46","",""
"","","","","","","","05:29:00","45","",""
"","","","","","","","05:30:00","47","",""
"","","","","","","","05:31:00","45","",""
"","","","","","","","05:32:00","46","",""
"","","","","","","","05:33:00","48","",""
"","","","","","","","05:34:00","45","",""
"","","","","","","","05:35:00","55","",""
"","","","","","","","05:36:00","53","",""
"","","","","","","","05:37:00","49","",""
"","","","","","","","05:38:00","48","",""
"","","","","","","","05:39:00","49","",""
"","","","","","","","05:40:00","46","",""
"","","","","","","","05:41:00","48","",""
"","","","","","","","05:42:00","45","",""
"","","","","","","","05:43:00","43","",""
"","","","","","","","05:44:00","44","",""
"","","","","","","","05:45:00","44","",""
"","","","","","","","05:46:00","45","",""
"","","","","","","","05:47:00","46","",""
"","","","","","","","05:48:00","44","",""
"","","","","","","","05:49:00","44","",""
"","","","","","","","05:50:00","45","",""
"","","","","","","","05:51:00","46","",""
"","","","","","","","05:52:00","45","",""
"","","","","","","","05:53:00","45","",""
"","","","","","","","05:54:00","44","",""
"","","","","","","","05:55:00","44","",""
"","","","","","","","05:56:00","48","",""
"","","","","","","","05:57:00","44","",""
"","","","","","","","05:58:00","43","",""
"","","","","","","","05:59:00","45","",""
"","","","","","","","06:00:00","44","",""
"","","","","","","","06:01:00","44","",""
"","","","","","","","06:02:00","44","",""
"","","","","","","","06:03:00","44","",""
"","","","","","","","06:04:00","44","",""
"","","","","","","","06:05:00","45","",""
"","","","","","","","06:06:00","45","",""
"","","","","","","","06:07:00","44","",""
"","","","","","","","06:08:00","44","",""
"","","","","","","","06:09:00","49","",""
"","","","","","","","06:10:00","43","",""
"","","","","","","","06:11:00","44","",""
"","","","","","","","06:12:00","43","",""
"","","","","","","","06:13:00","43","",""
"","","","","","","","06:14:00","44","",""
"","","","","","","","06:15:00","44","",""
"","","","","","","","06:16:00","44","",""
"","","","","","","","06:17:00","44","",""
"","","","","","","","06:18:00","44","",""
