"activities-heart__value__heartRateZones__caloriesOut","activities-heart__value__heartRateZones__max","activities-heart__value__heartRateZones__min","activities-heart__value__heartRateZones__minutes","activities-heart__value__heartRateZones__name","activities-heart__value__restingHeartRate","activities-heart__dateTime","activities-heart-intraday__dataset__time","activities-heart-intraday__dataset__value","activities-heart-intraday__datasetInterval","activities-heart-intraday__datasetType"
"2867.0649900000003","107","30","1436","Out of Range","46","2025-03-25","00:00:00","56","1","minute"
"29.419629999999998","137","107","4","Fat Burn","","","00:01:00","61","",""
"0","176","137","0","Cardio","","","00:02:00","71","",""
"0","220","176","0","Peak","","","00:03:00","68","",""
"","","","","","","","00:04:00","73","",""
"","","","","","","","00:05:00","71","",""
"","","","","","","","00:06:00","72","",""
"","","","","","","","00:07:00","74","",""
"","","","","","","","00:08:00","69","",""
"","","","","","","","00:09:00","71","",""
"","","","","","","","00:10:00","71","",""
"","","","","","","","00:11:00","61","",""
"","","","","","","","00:12:00","60","",""
"","","","","","","","00:13:00","59","",""
"","","","","","","","00:14:00","59","",""
"","","","","","","","00:15:00","63","",""
"","","","","","","","00:16:00","75","",""
"","","","","","","","00:17:00","75","",""
"","","","","","","","00:18:00","81","",""
"","","","","","","","00:19:00","59","",""
"","","","","","","","00:20:00","60","",""
"","","","","","","","00:21:00","59","",""
"","","","","","","","00:22:00","52","",""
"","","","","","","","00:23:00","64","",""
"","","","","","","","00:24:00","59","",""
"","","","","","","","00:25:00","49","",""
"","","","","","","","00:26:00","52","",""
"","","","","","","","00:27:00","51","",""
"","","","","","","","00:28:00","50","",""
"","","","","","","","00:29:00","49","",""
"","","","","","","","00:30:00","47","",""
"","","","","","","","00:31:00","52","",""
"","","","","","","","00:32:00","64","",""
"","","","","","","","00:33:00","59","",""
"","","","","","","","00:34:00","60","",""
"","","","","","","","00:35:00","72","",""
"","","","","","","","00:36:00","79","",""
"","","","","","","","00:37:00","78","",""
"","","","","","","","00:38:00","79","",""
"","","","","","","","00:39:00","74","",""
"","","","","","","","00:40:00","81","",""
"","","","","","","","00:41:00","81","",""
"","","","","","","","00:42:00","75","",""
"","","","","","","","00:43:00","60","",""
"","","","","","","","00:44:00","53","",""
"","","","","","","","00:45:00","49","",""
"","","","","","","","00:46:00","50","",""
"","","","","","","","00:47:00","54","",""
"","","","","","","","00:48:00","48","",""
"","","","","","","","00:49:00","47","",""
"","","","","","","","00:50:00","52","",""
"","","","","","","","00:51:00","57","",""
"","","","","","","","00:52:00","58","",""
"","","","","","","","00:53:00","55","",""
"","","","","","","","00:54:00","62","",""
"","","","","","","","00:55:00","66","",""
"","","","","","","","00:56:00","61","",""
"","","","","","","","00:57:00","53","",""
"","","","","","","","00:58:00","52","",""
"","","","","","","","00:59:00","55","",""
"","","","","","","","01:00:00","62","",""
"","","","","","","","01:01:00","62","",""
